A000001,A000002,A000005,A000009,A000010,A000014,A000019,A000029,A000031,A000032,A000035,A000040,A000041,A000045,A000048,A000069,A000079,A000120,A000123,A000124,A000161,A000203,A000204,A000217,A000219,A000225,A000290,A000292,A000326,A000330,A000578,A000583,A000593,A000594,A000688,A000720,A000793,A000796,A000959,A000961,A001034,A001037,A001045,A001055,A001057,A001065,A001097,A001113,A001157,A001221,A001222,A001227,A001285,A001358,A001405,A001462,A001481,A001511,A001615,A001969,A002033,A002083,A002113,A002322,A002378,A002487,A002530,A002531,A002572,A002620,A002654,A002808,A003136,A003484,A004011,A004018,A004526,A005100,A005101,A005117,A005230,A005408,A005811,A005843,A006530,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027642,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
2,2,2,2304,46,230557486517,6,764884036743,1529755490574,4106118243,0,211,105558,1836311903,764877654105,93,70368744177664,4,7060,1082,0,48,6643838879,1081,2543535902,70368744177663,2116,17296,3151,33511,97336,4477456,48,2687348496,1,15,60060,3,237,137,515100,1529755125849,23456248059221,1,-23,1,463,6,2210,1,1,2,1,142,8233430727600,13,106,1,48,92,1,11142334464693,373,46,2162,7,4122901604639,7141075053842,121106762323,529,0,66,129,1,576,0,23,61,204,74,16708584709124,93,4,92,47,9,1026576,511,9,1013,-1,0,65,47,2,11,1680,282,1,13,9,2,5,6,3,3,1,139
1,1,10,2590,16,477611563049,4,1497215711538,2994414645860,6643838879,1,223,124754,2971215073,1497207322929,94,140737488355328,5,7658,1129,0,124,10749957122,1128,3637993036,140737488355327,2209,18424,3290,35720,103823,4879681,4,248758272,5,15,120120,7,241,139,546312,2994414645858,46912496118443,12,24,76,521,9,3410,2,5,2,2,143,16123801841550,13,109,5,96,95,48,22284668929386,383,4,2256,9,11263976658481,19509779867759,217283353640,552,0,68,133,9,1152,0,23,62,208,77,33400722824284,95,3,94,3,36,-1172700,9330,72,47840,0,1,66,2,3,10,1728,1,2,13,4,9,0,6,1,1,4,149
52,1,3,2910,42,990593118222,40,2932043766538,5864062367252,10749957122,0,227,147273,4807526976,2932031006720,97,281474976710656,2,8350,1177,0,57,17393796001,1176,5191304973,281474976710655,2304,19600,3432,38024,110592,5308416,57,-1696965207,2,15,120120,5,259,149,604800,5864061663920,93824992236885,2,-24,8,523,9,2451,1,2,3,1,145,32247603683100,13,113,1,56,96,2,44569336530174,393,42,2352,2,15386878263120,26650854921601,389838313476,576,1,69,139,1,96,0,24,63,210,78,66768552460640,97,2,96,7,84,723680,34105,504,455192,0,0,68,7,4,9,1800,46410,3,13,9,4,-20,6,48,200,1,151
2,2,6,3264,20,2056919312373,9,5744404057034,11488774559636,17393796001,1,229,173525,7778742049,5744387279808,98,562949953421312,3,9042,1226,1,93,28143753123,1225,7391026522,562949953421311,2401,20825,3577,40425,117649,5764801,31,611981400,2,15,180180,1,261,151,612468,11488774559616,187649984473771,4,25,43,569,9,3255,2,3,3,2,146,63205303218876,13,116,2,90,99,8,89138673060348,404,20,2450,9,42037733184721,72811489710961,699427308155,600,3,70,144,2,1368,4,24,64,216,79,133471383694720,99,3,98,5,126,-269325,42525,3024,1310354,0,1,69,2,5,8,1920,1,4,13,5,9,0,6,2,2,2,157
5,1,4,3658,32,4275826741501,2,11259024569838,22517998808028,28143753123,0,233,204226,12586269025,11258999068416,100,1125899906842624,3,9828,1276,2,72,45537549124,1275,10499640707,1125899906842623,2500,22100,3725,42925,125000,6250000,72,-1740295368,1,15,180180,0,267,157,647460,22517997465744,375299968947541,2,-25,21,571,5,2900,2,2,4,2,155,126410606437752,14,117,1,72,101,3,178277343463830,414,16,2550,7,57424611447841,99462344632562,1254875530736,625,0,72,147,1,744,12,25,65,220,82,266811455234912,101,4,100,17,126,63273,22827,15120,1310354,1,1,70,3,6,7,2048,66,5,13,9,5,21,6,8,11,1,163
1,1,6,4097,24,8897820358722,3,22076502318624,44152937528384,45537549124,1,239,239943,20365011074,22076468760335,103,2251799813685248,4,10614,1327,0,98,73681302247,1326,14883573114,2251799813685247,2601,23426,3876,45526,132651,6765201,14,850430336,2,15,180180,5,273,163,721392,44152937520670,750599937895083,4,26,46,599,9,3570,2,3,2,1,158,247959266474052,14,121,3,84,102,8,356554686927660,424,12,2652,12,156886956080403,271736178976085,2251431395067,650,2,74,148,4,1728,0,25,67,222,83,533360546236403,103,3,102,13,84,-9450,5880,60480,455192,0,0,72,2,7,6,2160,1,6,13,7,9,0,6,3,3,2,167
5,2,2,4582,52,18534868985473,8,43303893547956,86607686432616,73681302247,0,241,281589,32951280099,43303842570870,104,4503599627370496,3,11514,1379,1,54,119218851371,1378,21053676445,4503599627370495,2704,24804,4030,48230,140608,7311616,54,-1596055698,1,16,180180,8,283,167,885720,86607683851185,1501199875790165,1,-26,1,601,5,2810,1,1,2,2,159,495918532948104,14,122,1,54,105,1,713109368541588,434,52,2756,5,214311567528244,371198523608647,4039399293761,676,2,75,151,1,336,8,26,68,224,85,1066196883114136,105,4,104,53,36,870,750,181440,47840,-1,1,74,53,8,5,2304,1590,7,13,9,7,-8,6,8,11,1,169
1,2,8,5120,18,38647382629145,4,84973644983780,169947155749832,119218851371,1,251,329931,53316291173,84973577874915,107,9007199254740992,4,12414,1432,1,120,192900153618,1431,29720561230,9007199254740991,2809,26235,4187,51039,148877,7890481,40,1758697920,3,16,360360,2,285,169,976500,169947155749830,3002399751580331,7,27,66,617,7,4100,2,4,4,1,161,973469712824056,14,125,2,108,106,20,1426218737083176,444,18,2862,13,585510091136891,1014133226193379,7247276867411,702,0,76,156,2,1296,8,26,69,228,86,2131346383649578,107,5,106,3,9,-45,45,362880,1013,0,0,75,2,9,4,2310,1,8,13,8,9,0,6,1,1,2,173
15,1,4,5718,40,80660144452936,8,166800088109829,333599974893066,192900153618,0,257,386155,86267571272,166799986196480,109,18014398509481984,4,13428,1486,0,72,312119004989,1485,41871334614,18014398509481983,2916,27720,4347,53955,157464,8503056,72,2582175960,1,16,360360,0,289,173,979200,333599969907456,6004799503160661,2,-27,17,619,4,3172,2,2,4,1,166,1946939425648112,14,128,1,72,108,3,2852437463539542,454,20,2970,8,799821658665135,1385331749802026,13002681389917,729,0,77,157,1,960,0,27,71,234,87,4260600070280660,109,4,108,11,1,1,1,362880,1,1,0,76,5,10,3,2520,798,9,13,9,8,1,6,20,45,2,179
2,2,8,6378,24,168496405966083,9,327534652572024,655069036708592,312119004989,1,263,451276,139583862445,327534518354199,110,36028797018963968,5,14442,1541,0,120,505019158607,1540,58874385349,36028797018963967,3025,29260,4510,56980,166375,9150625,8,-1414533120,3,16,360360,9,297,179,1024128,655069036708398,12009599006321323,7,28,64,641,9,4250,2,4,2,2,169,3824345300380220,14,130,4,96,111,20,5704874927079084,464,6,3080,11,2185153408467161,3784796725797431,23328724221849,756,0,78,163,8,1728,0,27,73,240,89,8517018874559019,111,3,110,7,1,3628800,1,1,1,0,1,77,2,11,2,2592,1,10,13,1,10,-1,6,3,3,3,181
13,2,4,7108,36,352290103749902,5,643371579062292,1286742755471400,505019158607,0,269,526823,225851433717,643371375338640,112,72057594037927936,3,15596,1597,0,80,817138163596,1596,82623976486,72057594037927935,3136,30856,4676,60116,175616,9834496,80,2686677840,1,16,360360,7,303,181,1123980,1286742745883790,24019198012642645,2,-28,23,643,6,3620,2,2,4,2,177,7648690600760440,15,136,1,80,113,3,11409749832904548,474,18,3192,3,2984975067132296,5170128475599457,41855164920436,784,0,80,169,1,192,0,28,74,246,91,17034037749118038,113,2,112,19,10,-10628640,1023,10,2036,1,1,78,3,12,1,2880,870,11,13,10,1,0,6,20,45,1,191
2,1,4,7917,28,737181667007073,2,1264168584899532,2528336632928152,817138163596,1,271,614154,365435296162,1264168316450277,115,144115188075855872,4,16750,1654,0,90,1322157322203,1653,115737404664,144115188075855871,3249,32509,4845,63365,185193,10556001,30,-3081759120,1,16,471240,4,307,191,1285608,2528336632900554,48038396025285291,2,29,32,659,6,4210,2,2,2,1,178,15033633249770520,15,137,2,90,114,3,22819499665809096,484,28,3306,10,8155103542731753,14125053676996345,75094326386141,812,2,81,171,2,1920,0,28,75,252,93,34059721205881514,115,3,114,29,45,12753576,28501,90,152637,1,0,80,2,1,13,3072,1,12,13,3,10,15,6,3,3,2,193
2,1,2,8808,58,1543831278731515,6,2484745029278898,4969489253251428,1322157322203,0,277,715220,591286729879,2484744621997515,117,288230376151711744,4,18044,1712,1,60,2139295485799,1711,161825846160,288230376151711743,3364,34220,5017,66729,195112,11316496,60,-5189203740,1,17,510510,9,319,193,1342740,4969489234738635,96076792050570581,1,-29,1,661,9,3482,1,1,2,1,183,30067266499541040,15,144,1,60,116,1,45638999289112260,494,58,3422,7,11140078609864049,19295182152595802,134730274434996,841,0,82,172,1,720,8,29,76,258,94,68102733827053904,117,4,116,59,120,-8409500,145750,720,2203488,-1,0,81,59,3,11,3360,354,1,14,10,3,0,6,3,3,1,197
1,2,12,9792,16,3235668092770504,9,4885261149611790,9770521225481756,2139295485799,1,281,831820,956722026041,4885260612740877,118,576460752303423488,5,19338,1771,0,168,3461452808002,1770,225863047430,576460752303423487,3481,35990,5192,70210,205379,12117361,24,-1791659520,2,17,556920,4,321,197,1451520,9770521225481754,192153584101141163,11,30,108,809,6,5460,3,4,4,2,185,59132290782430712,15,145,3,144,119,44,91277998578224520,505,4,3540,11,30435260762459851,52715417982187949,241725942889019,870,0,84,175,4,1440,0,29,77,260,95,136172066931283524,119,3,118,5,210,3416930,246730,5040,9738114,0,1,82,2,5,9,3456,1,3,14,7,10,-35,6,1,1,4,199
13,1,2,10880,60,6786645948530214,14,9607680019329456,19215358428046176,3461452808002,0,283,966467,1548008755920,9607679205048286,121,1152921504606846976,4,20798,1831,0,62,5600748293801,1830,314689799781,1152921504606846975,3600,37820,5370,73810,216000,12960000,62,6956478662,1,18,1021020,4,327,199,1653900,19215358392200893,384307168202282325,1,-30,1,811,7,3722,1,1,2,1,187,118264581564861424,15,146,1,62,120,1,182555997071437176,515,60,3660,4,41575339372323900,72010600134783751,433691920506543,900,2,85,181,1,576,0,30,79,264,97,272277365310106408,121,2,120,61,252,-902055,179487,30240,15724248,-1,0,84,61,9,5,3600,56786730,5,14,10,7,0,6,44,113,1,211
1,2,4,12076,30,14244997304930756,4,18900353608280300,37800705069076952,5600748293801,1,293,1121505,2504730781961,18900352534538475,122,2305843009213693952,5,22258,1892,1,96,9062201101803,1891,437699333376,2305843009213693951,3721,39711,5551,77531,226981,13845841,32,1268236032,1,18,1021020,5,331,211,1721400,37800705069076950,768614336404564651,2,31,34,821,6,4810,2,2,2,2,194,232714176627630544,15,148,2,96,123,3,365111994142874352,525,30,3782,9,113585939507107651,196736618251755451,778107139329469,930,0,86,183,2,1488,8,30,81,270,101,544421259236518096,123,3,122,31,210,157773,63987,151200,9738114,1,1,85,2,11,3,3840,1,9,14,9,10,28,6,1,1,2,223
2,2,6,13394,36,29920919387044286,8,37191017905571379,74382032589917286,9062201101803,0,307,1300156,4052739537881,37191016277640225,124,4611686018427387904,5,23884,1954,0,104,14662949395604,1953,607771804065,4611686018427387903,3844,41664,5735,81375,238328,14776336,104,1902838392,2,18,1141140,9,339,223,1814400,74382032520643617,1537228672809129301,4,-31,41,823,2,4550,2,3,6,2,201,465428353255261088,16,149,1,96,125,8,730223988115727581,535,6,3906,5,155161278879431551,268747218386539202,1396038735497338,961,0,87,189,1,768,0,31,82,272,102,1088575707017801280,125,2,124,7,120,-18150,11880,604800,2203488,0,1,86,3,13,1,4096,6,11,14,10,9,0,6,3,3,2,227
4,1,7,14848,32,62890178579375393,74,73201367519380268,146402730743793240,14662949395604,1,311,1505499,6557470319842,73201365371846652,127,9223372036854775808,6,25510,2017,0,127,23725150497407,2016,842541287719,9223372036854775807,3969,43680,5922,85344,250047,15752961,1,2699296768,11,18,1141140,2,349,227,1876896,146402730743693304,3074457345618258603,11,32,63,827,7,5461,1,6,1,1,202,916312070471295267,16,153,7,96,126,32,1460447976231455162,545,16,4032,6,423908497265970753,734231055024833855,2504698970816621,992,1,88,192,12,2496,0,31,83,276,103,2176618053489366157,127,1,126,2,45,1320,1155,1814400,152637,0,0,87,2,1,14,4320,1,13,14,1,11,-9,6,8,11,2,229
267,2,4,16444,48,132274612360922980,13,144115191330636810,288230376218822676,23725150497407,0,313,1741630,10610209857723,144115188075855872,128,18446744073709551616,1,27338,2081,1,84,38388099893011,2080,1166117605448,18446744073709551615,4096,45760,6112,89440,262144,16777216,84,-2790474540,1,18,2042040,3,357,229,1934868,288230376084602880,6148914691236517205,2,-32,19,829,7,4420,2,2,4,2,203,1832624140942590534,16,157,1,84,129,3,2920895952122868078,555,12,4160,1,579069776145402304,1002978273411373057,4493798613905269,1024,4,90,193,1,24,4,32,85,280,105,4352169910095618178,129,2,128,13,10,-55,55,3628800,2036,1,1,88,5,2,13,4608,510,1,15,11,1,0,7,32,203,2,233
1,2,8,18200,20,278385647424378687,7,283796066967422192,567592125344909792,38388099893011,1,317,2012558,17167680177565,283796062672454577,131,36893488147419103232,2,29166,2146,2,144,62113250390418,2145,1611415838202,36893488147419103231,4225,47905,6305,93665,274625,17850625,48,-3233333376,1,18,2042040,0,361,233,2097024,567592125344909154,12297829382473034411,5,33,78,857,2,6100,3,3,4,1,205,3609714217008132870,16,160,2,144,130,13,5841791904245736156,565,10,4290,7,1582048049556775361,2740187601847579969,8062536144230357,1056,0,91,196,2,2016,16,32,86,282,106,8702208473807586778,131,3,130,11,1,1,1,3628800,1,-1,0,90,2,4,11,4620,1,2,15,2,11,1,7,3,3,2,239
4,1,2,20132,66,586253150035075398,10,558992251165454994,1117984489446008100,62113250390418,0,331,2323520,27777890035288,558992244657833425,133,73786976294838206464,2,31196,2212,0,68,100501350283429,2211,2223312543970,73786976294838206463,4356,50116,6501,98021,287496,18974736,68,-15481826884,1,19,3063060,7,367,239,2165292,1117984489185516357,24595658764946068821,1,-33,1,859,4,4490,1,1,2,1,206,7219428434016265740,16,162,1,68,132,1,11683583807811393030,575,66,4422,6,2161117825702177665,3743165875258953026,14465376547257194,1089,0,92,199,1,1152,0,33,87,288,107,17400156347544892896,133,4,132,67,1,-39916800,1,1,1,-1,0,91,67,7,8,5040,64722,4,15,11,2,0,7,13,19,1,241
1,1,6,22250,32,1235330813966401622,7,1101298162244236182,2202596307308603180,100501350283429,1,337,2679689,44945570212853,1101298153654301589,134,147573952589676412928,3,33226,2279,0,126,162614600673847,2278,3062906627106,147573952589676412927,4489,52394,6700,102510,300763,20151121,18,10165534848,2,19,3063060,8,385,241,2328648,2202596307308603178,49191317529892137643,4,34,58,881,0,6090,2,3,2,2,209,14226520737620288370,16,164,3,108,135,8,23367167615622786060,585,16,4556,11,5904283700961130691,10226519352365486021,25953014648523851,1122,2,93,201,4,1632,0,33,89,294,109,34800312695089785792,135,3,134,17,11,120543840,2047,11,4083,0,1,92,2,8,7,5184,1,7,15,3,11,-6,7,1,1,2,243
5,2,4,24576,44,2604553054017800280,2,2170205198153526576,4340410370537249376,162614600673847,0,347,3087735,72723460248141,2170205185142300190,137,295147905179352825856,2,35494,2347,1,96,263115950957276,2346,4213276093961,295147905179352825855,4624,54740,6902,107134,314432,21381376,96,4698104544,1,19,3423420,1,391,243,2413320,4340410370031955245,98382635059784275285,2,-34,27,883,7,5300,2,2,4,1,213,28453041475240576740,16,169,1,96,136,3,46734335229885413556,595,22,4692,5,8065401526663308356,13969685227624439047,46563528239276954,1156,0,94,208,1,432,8,34,91,300,110,69592108371305012565,137,4,136,23,55,-150917976,86526,110,478271,1,0,93,3,11,4,5400,30,8,15,11,3,0,7,8,11,1,251
1,1,8,27130,24,5494490874497590628,2,4277505889344524468,8555011744329310568,263115950957276,1,349,3554345,117669030460994,4277505872164472921,138,590295810358705651712,3,37762,2416,0,144,425730551631123,2415,5787232662336,590295810358705651711,4761,57155,7107,111895,328509,22667121,48,1940964480,1,19,3423420,6,393,251,2588772,8555011744328945842,196765270119568550571,5,35,74,1019,6,6500,3,3,4,2,214,56093138908331422716,17,170,2,144,139,13,93468670459770827112,606,12,4830,14,22035086754287747403,38165889807614364115,83541823231748146,1190,0,95,211,2,2304,0,34,92,304,111,139167182704860907092,139,5,138,7,165,105258076,611501,990,10187685,-1,1,94,2,13,2,5760,1,11,15,4,11,35,7,3,3,3,256
4,1,2,29927,70,11597351487541211218,10,8432797316853883164,16865594582168158776,425730551631123,0,353,4087968,190392490709135,8432797290838652043,140,1180591620717411303424,3,40268,2486,0,72,688846502588399,2485,7937771067795,1180591620717411303423,4900,59640,7315,116795,343000,24010000,72,9791485272,1,20,6126120,4,399,256,2867580,16865594581186450683,393530540239137101141,1,-35,1,1021,6,5042,1,1,2,2,215,112186277816662845432,17,173,1,72,141,1,186937340916821347494,616,70,4970,9,30100488280951055759,52135575035238803162,149886327192362829,1225,0,96,217,1,1152,0,35,93,306,113,278300305688515932670,141,4,140,71,330,-45995730,1379400,7920,66318474,-1,1,95,71,14,1,6144,4686,13,15,11,4,0,7,13,19,1,257
1,2,12,32992,24,24491783593614040220,4,16628051030379615882,33256101992039755028,688846502588399,1,359,4697205,308061521170129,16628050996019877513,143,2361183241434822606848,4,42774,2557,0,195,1114577054219522,2556,10872114256046,2361183241434822606847,5041,62196,7526,121836,357911,25411681,13,-9600560640,6,20,6126120,0,409,257,2964780,33256101992039755026,787061080478274202283,16,36,123,1031,3,7735,2,5,3,1,217,221256270138418389602,17,178,4,144,142,76,373874681833642694988,626,6,5112,13,82236063316189858921,142437039878091970439,268918132381873003,1260,1,98,219,8,1728,0,35,94,308,114,556532508643204811436,143,3,142,3,462,13339535,1323652,55440,162512286,0,0,96,2,1,15,6300,1,14,15,5,11,-56,7,1,1,4,263
50,1,2,36352,72,51749439379506781173,16,32794211738611821312,65588423374144427520,1114577054219522,0,367,5392783,498454011879264,32794211686594641920,145,4722366482869645213696,2,45564,2629,1,74,1803423556807921,2628,14870591703377,4722366482869645213695,5184,64824,7740,127020,373248,26873856,74,1463791322,1,21,6846840,6,415,263,3265920,65588423372234846720,1574122160956548404565,1,-36,1,1033,0,5330,1,1,2,1,218,442512540276836779204,17,180,1,74,144,1,747749363661844776516,636,72,5256,4,112336551597140914680,194572614913330773601,482478710890290470,1296,2,99,223,1,312,4,36,95,312,115,1112928845219478339348,145,4,144,73,462,-2637558,627396,332640,162512286,-1,0,98,73,3,13,6480,140100870,1,16,11,5,0,7,76,355,1,269
1,2,4,40026,36,109397706900151067515,4,64689951888851602952,129379903640264252432,1803423556807921,1,373,6185689,806515533049393,64689951820132126215,146,9444732965739290427392,3,48354,2702,1,114,2918000611027443,2701,20311959869076,9444732965739290427391,5329,67525,7957,132349,389017,28398241,38,4373119536,1,21,6846840,2,421,269,3483840,129379903640264252430,3148244321913096809131,2,37,40,1049,3,6850,2,2,2,2,219,873065282167813104916,17,181,2,114,147,3,1495498727323689553032,646,36,5402,15,306909166510471688281,531582269704753517641,865637822190493777,1332,2,100,225,2,1776,8,36,97,318,118,2225585413073646572288,147,5,146,37,330,357423,159027,1663200,66318474,1,1,99,2,5,11,6720,1,3,16,6,11,36,7,1,1,2,271
2,2,6,44046,40,231378007845549932354,2,127631526668052321918,255263053129946213628,2918000611027443,0,379,7089500,1304969544928657,127631526564044465235,148,18889465931478580854784,3,51428,2776,1,124,4721424167835364,2775,27707354427729,18889465931478580854783,5476,70300,8177,137825,405224,29986576,124,-6425804700,2,21,6846840,8,427,271,3594432,255263053126231647315,6296488643826193618261,4,-37,49,1051,5,6510,2,3,6,2,221,1746130564335626209832,17,185,1,120,149,8,2990997454636497899940,656,20,5550,11,419245718107612602961,726154884618084291242,1553081664110149303,1369,0,102,228,1,912,8,37,98,320,119,4450626404888056626480,149,6,148,5,165,-32670,22275,6652800,10187685,0,1,100,3,7,9,6912,6,5,16,11,6,0,7,3,3,2,277
