A000001,A000002,A000005,A000009,A000010,A000014,A000019,A000029,A000031,A000032,A000035,A000040,A000041,A000045,A000048,A000069,A000079,A000120,A000123,A000124,A000161,A000203,A000204,A000217,A000219,A000225,A000290,A000292,A000326,A000330,A000578,A000583,A000593,A000594,A000688,A000720,A000793,A000796,A000959,A000961,A001034,A001037,A001045,A001055,A001057,A001065,A001097,A001113,A001157,A001221,A001222,A001227,A001285,A001358,A001405,A001462,A001481,A001511,A001615,A001969,A002033,A002083,A002113,A002322,A002378,A002487,A002530,A002531,A002572,A002620,A002654,A002808,A003136,A003484,A004011,A004018,A004526,A005100,A005101,A005117,A005230,A005408,A005811,A005843,A006530,A007318,A008275,A008277,A008279,A008292,A008683,A010060,A018252,A020639,A020652,A020653,A025487,A027642,A038566,A038567,A038568,A038569,A049310,A070939,A074206,A104725,A226898,A246655
3,1,6,48446,36,489600023866070467541,2,251859545890487146472,503719091506096386000,4721424167835364,1,383,8118264,2111485077978050,251859545753047520816,151,37778931862957161709568,4,54502,2851,0,140,7639424778862807,2850,37745732428153,37778931862957161709567,5625,73150,8400,143450,421875,31640625,20,-15693610240,2,21,6846840,6,429,277,3822588,503719091506095041632,12592977287652387236523,4,38,64,1061,3,7602,2,3,2,1,226,3446310324346630677300,17,193,3,120,150,8,5981994909272995799880,666,18,5700,18,1145400602725696894203,1983892038940922100125,2786457099682413233,1406,0,104,229,4,2976,0,37,99,324,122,8900164234069095451680,151,5,150,19,55,1925,1705,19958400,478271,0,0,102,2,9,7,7200,1,7,16,7,11,-10,7,8,11,2,281
4,2,4,53250,60,1036479502925052977383,4,497091208931087393202,994182417449857925988,7639424778862807,0,389,9289091,3416454622906707,497091208723120548810,152,75557863725914323419136,3,57906,2927,0,96,12360848946698171,2926,51354666391773,75557863725914323419135,5776,76076,8626,149226,438976,33362176,96,-8951543328,1,21,8953560,2,433,281,3940200,994182417442624283055,25185954575304774473045,2,-38,19,1063,5,6100,2,2,4,2,235,6892620648693261354600,18,194,1,96,153,3,11963989818524229187512,676,30,5852,7,1564646320833309497164,2710046923559006391367,4999314168596450359,1444,0,105,237,1,480,0,38,101,330,123,17798151850084701537203,153,4,152,11,11,-66,66,39916800,4083,1,1,104,7,11,5,7560,30,9,16,11,7,0,7,8,11,2,283
1,1,8,58499,24,2195202581218006298241,6,981270957754284704684,1962541914958813595480,12360848946698171,1,397,10619863,5527939700884757,981270957479406797637,155,151115727451828646838272,4,61310,3004,0,168,20000273725560978,3003,69781543686979,151115727451828646838271,5929,79079,8855,155155,456533,35153041,56,3494159424,1,21,9699690,0,451,283,4245696,1962541914958813595274,50371909150609548946091,5,39,90,1091,4,8500,3,3,4,1,237,13608507434599516007800,18,196,2,168,154,13,23927979637048458375024,686,12,6006,17,4274693244392315888531,7403985886058934882859,8969505455219101342,1482,0,106,241,2,2304,0,38,103,336,127,35591951530259307456228,155,5,154,13,1,1,1,39916800,1,-1,0,105,2,13,3,7680,1,11,16,8,11,1,7,3,3,2,289
6,1,2,64234,78,4651338706168960031113,10,1937381121593132140708,3874762242361630560584,20000273725560978,0,401,12132164,8944394323791464,1937381121177289913895,157,302231454903657293676544,4,65044,3082,0,80,32361122672259149,3081,94701959299374,302231454903657293676543,6084,82160,9087,161239,474552,37015056,80,38116845680,1,22,12252240,8,463,289,4680000,3874762242347531676435,100743818301219097892181,1,-39,1,1093,7,6242,1,1,2,1,247,27217014869199032015600,18,197,1,80,156,1,47855959274053391967102,696,78,6162,10,5839339565225625385695,10114032809617941274226,16092612986114092685,1521,0,108,243,1,1344,0,39,105,340,129,71175200852044807325678,157,4,156,79,1,479001600,1,1,1,-1,0,106,79,15,1,7776,3318,13,16,11,8,1,7,13,19,1,293
1,2,10,70488,32,9859749389299748033052,4,3825714619583392442706,7651429238067273257636,32361122672259149,1,409,13848650,14472334024676221,3825714619033636628817,158,604462909807314587353088,5,68778,3161,0,186,52361396397820127,3160,128364196860773,604462909807314587353087,6241,85320,9322,167480,493039,38950081,6,4767866880,5,22,19399380,9,475,293,4696860,7651429238067273257634,201487636602438195784363,12,40,106,1151,5,8866,2,5,2,2,249,53753604366668088230810,18,200,5,144,159,48,95711918548106783934204,707,4,6320,13,15953372374843566659921,27632051505294817431311,28872516329224367815,1560,2,110,244,9,1920,0,39,106,342,130,142350401704089614651356,159,3,158,5,12,-1486442880,4095,12,8178,0,1,108,2,1,16,8192,1,15,16,9,11,0,7,1,1,4,307
52,2,5,77312,54,20909016373671544992645,155,7555786373422938025200,15111572745196608608736,52361396397820127,0,419,15796476,23416728348467685,7555786372591432341504,161,1208925819614629174706176,2,72902,3241,1,121,84722519070079276,3240,173781688194937,1208925819614629174706175,6400,88560,9560,173880,512000,40960000,121,1665188361,5,22,19399380,9,477,307,5515776,15111572745169120787664,402975273204876391568725,5,-40,40,1153,9,7381,1,4,5,1,253,107507208733336176461620,18,202,1,108,160,8,191423837096126518302516,717,54,6480,3,21792711940069192045616,37746084314912758705537,51801543969317724511,1600,1,111,247,1,144,8,40,107,348,131,284683403251831684409816,161,4,160,3,66,1931559552,261625,132,1479726,0,0,110,3,2,15,8640,230010,1,17,11,9,-21,7,48,200,1,311
15,1,4,84756,40,44358473302819265986953,10,14925010119798638898462,29850020237398254541372,84722519070079276,1,421,18004327,37889062373143906,14925010118699124785152,162,2417851639229258349412352,3,77026,3322,1,126,137083915467899403,3321,234989042219523,2417851639229258349412351,6561,91881,9801,180441,531441,43046721,42,-7394890608,1,22,19399380,8,483,311,5544672,29850020237398249570304,805950546409752783137451,2,41,44,1229,4,8410,2,2,2,2,254,212392290424395860814420,18,205,2,126,163,3,382847674192253036605032,727,40,6642,14,59538796254981950751153,103124220135120334842385,92939594422853556796,1640,2,112,252,2,2904,4,40,109,350,133,569332006190968279033840,163,5,162,41,220,-1414014888,2532530,1320,45533450,1,1,111,2,3,14,9216,1,2,17,10,11,0,7,8,15,2,313
2,2,2,92864,82,94143525314455561623586,6,29485995602019485259228,58971991200740435635128,137083915467899403,0,431,20506255,61305790721611591,29485995600356809139175,164,4835703278458516698824704,3,81540,3404,1,84,221806434537978679,3403,317382398602028,4835703278458516698824703,6724,95284,10045,187165,551368,45212176,84,-29335099668,1,23,19399380,6,487,313,5663616,58971991200686800921575,1611901092819505566274901,1,-41,1,1231,5,6890,1,1,2,2,259,424784580848791721628840,18,208,1,84,165,1,765695348384331974161380,737,82,6806,11,81331508195051142796769,140870304450033093547922,166747311945008694202,1681,0,114,256,1,1008,8,41,110,352,134,1138594420273565253055115,165,6,164,83,495,657206836,7508501,11880,423281535,-1,1,112,83,4,13,9240,498,3,17,11,10,70,7,3,3,1,317
1,2,12,101698,24,199880755320679984838068,6,58261485284831754566694,116522970565265462622284,221806434537978679,1,433,23338469,99194853094755497,58261485282632731311141,167,9671406556917033397649408,4,86054,3487,0,224,358890350005878082,3486,428171324714100,9671406556917033397649407,6889,98770,10292,194054,571787,47458321,32,6211086336,2,23,38798760,2,489,317,5848428,116522970565265462622282,3223802185639011132549803,11,42,140,1277,7,10500,3,4,4,1,262,839455243105945545123660,19,212,3,192,166,44,1531390696768663948322760,747,6,6972,19,222201812645084236344691,384864829035186521938229,299169220756249218052,1722,0,115,259,4,2016,0,41,111,354,137,2277049673364425645203138,167,5,166,7,792,-206070150,9321312,95040,1505621508,0,0,114,2,5,12,10080,1,4,17,1,12,0,7,1,1,4,331
15,1,4,111322,64,424535585953336445723915,6,115135792347575114543648,230271584688553159320640,358890350005878082,0,439,26543660,160500643816367088,115135792344250395993210,168,19342813113834066795298816,3,91018,3571,0,108,580696784543856761,3570,576978362008262,19342813113834066795298815,7056,102340,10542,201110,592704,49787136,108,-33355661220,1,23,38798760,8,495,331,6004380,230271584688448434290055,6447604371278022265099605,2,-42,23,1279,1,7540,2,2,4,2,265,1678910486211891090247320,19,218,1,108,169,3,3062781393536979698548152,757,16,7140,8,303533320840135379141460,525735133485219615486151,536753616018831168748,1764,4,116,268,1,768,0,42,113,360,138,4553821046423162774473606,169,6,168,17,924,44990231,5715424,665280,2275172004,1,1,115,5,6,11,10368,3404310,5,17,12,1,-84,7,44,113,1,337
1,1,4,121792,42,902019431646632551533574,2,227562507225975302929472,455125014443154512836736,580696784543856761,1,443,30167357,259695496911122585,227562507221577256414509,171,38685626227668133590597632,4,95982,3656,2,132,939587134549734843,3655,776633557947931,38685626227668133590597631,7225,105995,10795,208335,614125,52200625,44,411016992,1,23,58198140,0,511,337,6065280,455125014443154512829018,12895208742556044530199211,2,43,46,1289,3,9250,2,2,2,1,267,3318776542511877736535400,19,221,2,132,170,3,6125562787073959397096304,767,42,7310,21,829268454325354994627611,1436335096005625752910531,963014990582976052936,1806,0,117,271,2,2592,16,42,115,364,139,9107085560337682344135776,171,7,170,43,792,-6926634,1899612,3991680,1505621508,1,0,116,2,7,10,10800,1,6,17,5,12,0,7,3,3,2,343
2,2,4,133184,56,1917222795082101093776220,2,449832863119068367872573,899665726224942596211834,939587134549734843,0,449,34262962,420196140727489673,449832863112420158030205,173,77371252455336267181195264,4,101396,3742,0,120,1520283919093591604,3741,1044226582040722,77371252455336267181195263,7396,109736,11051,215731,636056,54700816,120,32358470760,1,23,58198140,3,517,343,6324552,899665726224738035908989,25790417485112089060398421,2,-43,33,1291,8,8420,2,2,4,1,274,6637553085023755473070800,19,225,1,120,172,3,12251125574147222398163988,777,28,7482,13,1132801775165490373769071,1962070229490845368396682,1727790636914878448840,1849,0,118,273,1,1056,0,43,116,366,141,18213058191830145209932204,173,6,172,29,495,749463,359502,19958400,423281535,1,0,117,3,8,9,11520,6,7,17,12,5,45,7,3,3,1,347
1,1,8,145578,40,4076435054313559650396765,2,889324740874730204724120,1778649481731868223403824,1520283919093591604,1,457,38887673,679891637638612258,889324740865934102445515,174,154742504910672534362390528,5,106810,3829,0,180,2459871053643326447,3828,1402498445554353,154742504910672534362390527,7569,113564,11310,223300,658503,57289761,12,45164021760,3,23,58198140,4,519,347,6825840,1778649481731868204891030,51580834970224178120796843,7,44,92,1301,2,10370,2,4,2,2,278,13124252690842425594480900,19,226,4,144,175,20,24502251148294444796327976,787,10,7656,18,3094872004656335742165753,5360475554987316489703895,3099910711881621664776,1892,0,119,277,8,2880,0,43,117,368,142,36423890798247216773292120,175,5,174,11,220,-55770,39325,79833600,45533450,0,1,118,2,9,8,12288,1,8,17,7,12,0,7,3,3,2,349
12,2,2,159046,88,8670341576106643631521880,10,1758437555816391076574364,3516875111606393874082104,2459871053643326447,0,461,44108109,1100087778366101931,1758437555803096981390800,176,309485009821345068724781056,3,112748,3917,0,90,3980154972736918051,3916,1881680993051046,309485009821345068724781055,7744,117480,11572,231044,681472,59969536,90,-24992917110,1,24,58198140,8,529,349,6998640,3516875111605994051576550,103161669940448356241593685,1,-44,1,1303,1,7922,1,1,2,2,287,26248505381684851188961800,19,229,1,90,177,1,49004502296587496800598712,797,88,7832,5,4227673779821826115934824,7322545784478161858100577,5561696085352672474153,1936,2,120,279,1,288,0,44,118,372,143,72843330970089545489957760,177,4,176,89,66,2717,2431,239500800,1479726,-1,1,119,89,10,7,12600,61410,9,17,12,7,-11,7,20,45,1,353
1,2,12,173682,24,18447445145912326223866730,4,3477359660931581722277912,6954719321827979072466992,3980154972736918051,1,463,49995925,1779979416004714189,3477359660913989536233495,179,618970019642690137449562112,4,118686,4006,1,234,6440026026380244498,4005,2521925777635221,618970019642690137449562111,7921,121485,11837,238965,704969,62742241,78,13173496560,2,24,116396280,2,535,353,7174332,6954719321827979072466990,206323339880896712483187371,11,45,144,1319,7,11830,3,4,6,1,289,51913710643776705684835560,19,232,2,216,178,44,98009004593174993601197424,808,12,8010,17,11550219564299987974035401,20005567123943640205905049,9978501389496992830602,1980,2,121,283,2,2160,8,44,119,378,145,145677761775945021884463840,179,5,178,5,12,-78,78,479001600,8178,0,0,120,2,11,6,12960,1,10,17,11,12,0,7,1,1,4,359
10,1,4,189586,72,39262442122421809524005046,10,6877444662723140842510068,13754889325393505126886888,6440026026380244498,0,467,56634173,2880067194370816120,6877444662696557076806224,181,1237940039285380274899124224,4,125148,4096,1,112,10420180999117162549,4095,3376508618954817,1237940039285380274899124223,8100,125580,12105,247065,729000,65610000,112,9673645072,1,24,116396280,5,537,359,7906500,13754889325392723216145164,412646679761793424966374741,2,-45,21,1321,8,8500,2,2,4,1,291,103827421287553411369671120,20,233,1,112,180,3,196018009186347201618612600,818,12,8190,12,15777893344121814089970225,27328112908421802064005626,17902900203846694149570,2025,0,122,289,1,1872,8,45,121,380,146,291337725400039959067390477,181,6,180,13,1,1,1,479001600,1,1,0,121,7,12,5,13440,272118,11,17,12,11,1,7,44,113,2,361
1,2,6,206848,44,83590376853422713388714201,2,13603736695478923656694872,27207473390887478569212080,10420180999117162549,1,479,64112359,4660046610375530309,13603736695443739284605715,182,2475880078570760549798248448,5,131610,4187,0,168,16860207025497407047,4186,4516053506209319,2475880078570760549798248447,8281,129766,12376,255346,753571,68574961,24,-27442896384,2,24,116396280,3,541,361,8487168,27207473390887478569211430,825293359523586849932749483,4,46,76,1427,5,11130,2,3,2,2,295,205397724721029574666088520,20,234,3,144,183,8,392036018372694403237225200,828,22,8372,19,43106006252543616153975851,74661792940787244333916301,32120438049570839626704,2070,0,123,291,4,2688,0,45,122,384,149,582639858848549658827324726,183,5,182,23,1,-6227020800,1,1,1,0,1,122,2,13,4,13824,1,12,17,1,13,0,7,3,3,2,367
4,2,4,225585,60,178020528713193961309691299,2,26911739984517947581815054,53823479968930342047363612,16860207025497407047,0,487,72533807,7540113804746346429,26911739984464788584763570,185,4951760157141521099596496896,4,138670,4279,0,128,27280388024614569596,4278,6034095681424573,4951760157141521099596496895,8464,134044,12650,263810,778688,71639296,128,-13316478336,1,24,116396280,4,553,367,9095592,53823479968928812291873035,1650586719047173699865498965,2,-46,35,1429,2,9620,2,2,4,1,298,410795449442059149332177040,20,241,1,128,184,3,784072036745383235306885904,838,30,8556,7,58883899596665430243946076,101989905849209046397921927,57628793589244240126722,2116,0,124,292,1,576,0,46,123,390,151,1165279717697099317654649452,185,4,184,31,13,19802759040,8191,13,16369,1,0,123,3,14,3,13860,1410,13,17,13,1,7,7,8,11,1,373
2,1,4,245920,46,379241414165603867776501450,2,53244732872559842956478532,106489465744978948424601736,27280388024614569596,1,491,82010177,12200160415121876738,53244732872489474177664033,186,9903520314283042199192993792,5,145730,4372,0,144,44140595050111976643,4371,8054401761691018,9903520314283042199192993791,8649,138415,12927,272459,804357,74805201,48,-64496363904,1,24,140900760,2,559,373,9732420,106489465744978948355328066,3301173438094347399730997931,2,47,50,1451,5,11050,2,2,2,2,299,812850570172585125274307760,20,242,2,144,187,3,1568144073490766470613771808,848,46,8742,16,160873805445874476641868003,278641604639205337129760155,103394537939562581667562,2162,0,125,300,2,3072,0,46,124,392,154,2330488260193346590501973226,187,5,186,47,78,-26596717056,788970,156,4537314,1,1,124,2,15,2,14400,1,14,17,2,13,0,7,3,3,2,379
2,1,4,267968,72,808147121601837814568461328,2,105356599088223771924108747,210713198176236437615684502,44140595050111976643,0,499,92669720,19740274219868223167,105356599088117470204180785,188,19807040628566084398385987584,5,153388,4466,0,120,71420983074726546239,4465,10740594259633282,19807040628566084398385987583,8836,142880,13207,281295,830584,78074896,120,51494658600,1,24,140900760,1,577,379,9951120,210713198176233443201038641,6602346876188694799461995861,2,-47,25,1453,1,9412,2,2,4,2,301,1625701140345170250548615520,20,244,1,120,189,3,3136288146981521798893078923,858,36,8930,9,219757705042539906885814079,380631510488414383527682082,185505019451437935478414,2209,0,126,301,1,1152,0,47,125,396,155,4660834169984989091389295096,189,4,188,19,286,20313753096,10391745,1716,198410786,1,1,125,5,16,1,15120,6,15,17,13,2,-56,7,3,3,1,383
1,2,12,291874,32,1722627329630871412011512437,2,208495164511362678524008344,416990329022443882071306032,71420983074726546239,1,503,104651419,31940434634990099905,208495164511221941035639215,191,39614081257132168796771975168,6,161046,4561,0,252,115561578124838522882,4560,14308794779412286,39614081257132168796771975167,9025,147440,13490,290320,857375,81450625,4,-49569988608,7,24,157477320,1,579,383,9999360,416990329022443882071278430,13204693752377389598923991723,19,48,156,1481,6,13650,2,6,2,1,302,3217533506933149454210801550,20,245,6,192,190,112,6272576293963043597786157846,868,8,9120,11,600389215530954290413496161,1039904625616034104185124319,332823308923662560905200,2256,0,128,304,10,2880,0,47,127,400,157,9321383656566726351094180376,191,3,190,3,715,-9957703756,40075035,17160,2571742175,0,0,126,2,1,17,15360,1,16,17,3,13,0,7,3,3,4,389
231,1,2,317788,96,3672956468036815184501831357,14,412646679762005997259326218,825293359523589782053586452,115561578124838522882,0,509,118114304,51680708854858323072,412646679761793424944005120,193,79228162514264337593543950336,2,169396,4657,0,98,186982561199565069121,4656,19044219737399823,79228162514264337593543950335,9216,152096,13776,299536,884736,84934656,98,75013568546,1,25,157477320,7,583,389,10200960,825293359523583917857003520,26409387504754779197847983445,1,-48,1,1483,6,9410,1,1,2,1,303,6435067013866298908421603100,20,250,1,98,192,1,12545152587926064910903386306,878,96,9312,2,820146920573494197299310240,1420536136104448487712806401,597134003653706132733855,2304,2,129,307,1,96,0,48,128,402,158,18642197981127261733909326912,193,2,192,97,1287,3336118786,63436373,154440,12843262863,-1,0,128,97,5,13,15552,4501770,1,18,13,3,126,7,112,958,1,397
1,1,6,345856,42,7833596095195834473055292464,4,816785180559707635734895712,1633570361118852321516370112,186982561199565069121,1,521,133230930,83621143489848422977,816785180559426160758185055,194,158456325028528675187087900672,3,177746,4754,1,171,302544139324403592003,4753,25322945742768655,158456325028528675187087900671,9409,156849,14065,308945,912673,88529281,57,40727164968,2,25,232792560,0,591,397,10626828,1633570361118852321516370110,52818775009509558395695966891,4,49,73,1487,4,12255,2,3,3,2,305,12738806129490428451365214300,20,256,2,168,195,8,25090305175852129821806772612,888,42,9506,11,2240683056677942685012116641,3880976897824931079610737121,1071346293240802625813023,2352,1,130,309,2,2352,8,48,129,408,159,37283257367834249902565598709,195,3,194,7,1716,-790943153,49329280,1235520,27971176092,0,1,129,2,7,11,16384,1,5,18,4,13,0,7,1,1,2,401
5,2,6,376256,60,16711868038431945999292246099,2,1616901275801738096771848239,3233802551602631768613564510,302544139324403592003,0,523,150198136,135301852344706746049,1616901275801313012113141760,196,316912650057057350374175801344,3,186788,4852,1,156,489526700523968661124,4851,33640433065994170,316912650057057350374175801343,9604,161700,14357,318549,941192,92236816,156,-60754911516,2,25,232792560,6,601,401,11093880,3233802551602620279839003712,105637550019019116791391933781,4,-49,57,1489,2,11102,2,3,6,2,309,25477612258980856902730428600,21,257,1,144,197,8,50180610351704215074277015050,898,30,9702,9,3060829977251436882311426881,5301513033929379567323543522,1922152938901194880690729,2401,0,132,313,1,1368,4,49,130,414,161,74564237685995135379485994280,197,4,196,11,1716,135036473,20912320,8648640,27971176092,0,1,130,3,11,7,17280,6,7,18,13,4,-120,7,8,11,2,409
2,2,9,409174,40,35661927121077628230383782764,38,3201137879364778610385398532,6402275758728431320863954440,489526700523968661124,1,541,169229875,218922995834555169026,3201137879364215660301826604,199,633825300114114700748351602688,4,195830,4951,0,217,792070839848372253127,4950,44648874867815365,633825300114114700748351602687,9801,166650,14652,328350,970299,96059601,31,37534859200,4,25,232792560,7,613,409,11332452,6402275758728431320603653208,211275100038038233582783867563,9,50,117,1607,7,13671,2,4,3,1,314,50445672272782096667406248628,21,260,3,180,198,26,100361220703408430148554030100,909,20,9900,16,8362343011180816449634970403,14484002965683690214257824165,3448625289354562721060296,2450,3,133,316,4,3744,0,49,131,416,163,149123921550943847596197514954,199,3,198,5,1287,-16669653,5135130,51891840,12843262863,0,0,132,2,13,5,18432,1,11,18,5,13,0,7,8,11,3,419
